指标,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
结婚,831.3,884,926.7,899.2,937.2,951.1,953.6,957.5,915.4,932.4,934.1,938.7,914.1,891.7,885.3,848.5,805,786,811.4,867.2,823.1,945,991.4,1098.3,1212.4,1241,1302.36,1323.59,1346.93,1306.74,1224.71,1142.82,1063.1,1013.94,927.33
离婚,45.79,50.57,58.15,65.86,75.3,80,83.1,84.96,91,98.2,105.6,113.4,119.9,119.2,120.15,121.29,125.05,117.7,133,166.5,178.5,191.3,209.8,226.9,246.8,267.8,287.4,310.38,350.01,363.68,384.14,415.82,437.4,446.08,470.06
